C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,MES,AÑO,CL_0,CL_5,CL_10,CL_20,CL_30,CL_40,CL_50,CL_75,CL_100
10,L18,1,CRUCERO 1,2006/05/03,MAYO,2006,,,1.28,1.165,,,,,
10,L18N2,1,CRUCERO 1,2006/05/03,MAYO,2006,,,0.623333333,0.45,,,,,
10,L19,1,CRUCERO 1,2006/05/08,MAYO,2006,,,0.77,0.77,,,,,
10,L19N1,1,CRUCERO 1,2006/05/11,MAYO,2006,,,0.743333333,,,,,,
10,L19N2,1,CRUCERO 1,2006/05/11,MAYO,2006,,,1.853333333,0.86,,,,,
10,L20,1,CRUCERO 1,2006/05/11,MAYO,2006,,,0.446666667,0.69,,,,,
10,L22,1,CRUCERO 1,2006/05/12,MAYO,2006,,,0.763333333,,,,,,
10,L23,1,CRUCERO 1,2006/05/12,MAYO,2006,,,0.476666667,0.525,,,,,
10,L24,1,CRUCERO 1,2006/05/12,MAYO,2006,,,0.746666667,,,,,,
10,L18N2,1,CRUCERO 1,2006/05/02,MAYO,2006,,,0.623333333,0.45,,,,,
10,L19,1,CRUCERO 1,2006/05/07,MAYO,2006,,,0.77,0.77,,,,,
10,L19N1,1,CRUCERO 1,2006/05/10,MAYO,2006,,,0.743333333,,,,,,
10,L19N2,1,CRUCERO 1,2006/05/10,MAYO,2006,,,1.853333333,0.86,,,,,
10,L20,1,CRUCERO 1,2006/05/10,MAYO,2006,,,0.446666667,0.69,,,,,
10,L22,1,CRUCERO 1,2006/05/11,MAYO,2006,,,0.763333333,,,,,,
10,L23,1,CRUCERO 1,2006/05/11,MAYO,2006,,,0.476666667,0.525,,,,,
10,L24,1,CRUCERO 1,2006/05/11,MAYO,2006,,,0.746666667,,,,,,
12,M01N,1,CRUCERO 1,2007/02/14,FEBRERO,2007,,,1.2,1.22,,,,,
12,M02N,1,CRUCERO 1,2007/02/14,FEBRERO,2007,,,0.45,1.33,,,,,
12,M03N,1,CRUCERO 1,2007/02/14,FEBRERO,2007,,,0.36,0.65,,,,,
12,M04,1,CRUCERO 1,2007/02/13,FEBRERO,2007,,,0.66,0.65,,,,,
12,M05,1,CRUCERO 1,2007/02/13,FEBRERO,2007,,,0.54,0.51,,,,,
12,M06,1,CRUCERO 1,2007/02/12,FEBRERO,2007,,,0.54,0.47,,,,,
12,M07,1,CRUCERO 1,2007/02/12,FEBRERO,2007,,,0.54,0.51,,,,,
12,M08,1,CRUCERO 1,2007/02/11,FEBRERO,2007,,,0.87,0.35,,,,,
12,M09,1,CRUCERO 1,2007/02/11,FEBRERO,2007,,,1.22,1.1,,,,,
12,M10,1,CRUCERO 1,2007/02/11,FEBRERO,2007,,,1.24,1.23,,,,,
12,M11,1,CRUCERO 1,2007/02/11,FEBRERO,2007,,,0.95,0.84,,,,,
12,M12,1,CRUCERO 1,2007/02/11,FEBRERO,2007,,,0.98,0.87,,,,,
12,M13,1,CRUCERO 1,2007/02/10,FEBRERO,2007,,,0.85,0.54,,,,,
12,M14,1,CRUCERO 1,2007/02/10,FEBRERO,2007,,,0.65,0.5,,,,,
12,M15,1,CRUCERO 1,2007/02/10,FEBRERO,2007,,,0.69,0.5,,,,,
12,M16,1,CRUCERO 1,2007/02/10,FEBRERO,2007,,,0.84,0.54,,,,,
12,M17,1,CRUCERO 1,2007/02/15,FEBRERO,2007,,,0.68,0.68,,,,,
12,M18,1,CRUCERO 1,2007/02/15,FEBRERO,2007,,,0.33,0.44,,,,,
12,M19,1,CRUCERO 1,2007/02/15,FEBRERO,2007,,,0.41,0.47,,,,,
12,M20,1,CRUCERO 1,2007/02/15,FEBRERO,2007,,,0.84,0.77,,,,,
12,M21,1,CRUCERO 1,2007/02/15,FEBRERO,2007,,,0.87,0.92,,,,,
12,M22,1,CRUCERO 1,2007/02/15,FEBRERO,2007,,,1.64,1.22,,,,,
12,M23,1,CRUCERO 1,2007/02/16,FEBRERO,2007,,,1.84,1.23,,,,,
