C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,AÑO,MES,DIRECCION,V_MS
12,M04,1,CRUCERO 1,2006/05/11,2006,MAYO,N,5.088
12,M05,1,CRUCERO 1,2006/05/11,2006,MAYO,N,1.928
12,M06,1,CRUCERO 1,2006/05/10,2006,MAYO,N,5.134
12,M01N,1,CRUCERO 1,2006/05/10,2006,MAYO,N,4.248
12,M02N,1,CRUCERO 1,2006/05/10,2006,MAYO,N,4.308
12,M03N,1,CRUCERO 1,2006/05/10,2006,MAYO,N,4.966
12,M07,1,CRUCERO 1,2006/05/10,2006,MAYO,N,4.004
12,M08,1,CRUCERO 1,2006/05/09,2006,MAYO,NE,2.74
12,M24N,1,CRUCERO 1,2006/05/10,2006,MAYO,NE,4.706
12,M25N,1,CRUCERO 1,2006/05/09,2006,MAYO,NE,3.704
12,M09,1,CRUCERO 1,2006/05/12,2006,MAYO,S,3.568
12,M10,1,CRUCERO 1,2006/05/09,2006,MAYO,NE,12.228
12,M11,1,CRUCERO 1,2006/05/08,2006,MAYO,NE,7.642
12,M12,1,CRUCERO 1,,2006,MAYO,NE,1.702
12,M13,1,CRUCERO 1,2006/05/07,2006,MAYO,NE,4.312
12,M14,1,CRUCERO 1,2006/05/06,2006,MAYO,N,0.966
12,M15,1,CRUCERO 1,2006/05/06,2006,MAYO,SE,2.206
12,M16,1,CRUCERO 1,2006/05/14,2006,MAYO,NE,0.27
12,M23,1,CRUCERO 1,2006/05/15,2006,MAYO,NE,1.052
12,M17,1,CRUCERO 1,2006/05/14,2006,MAYO,NE,2.752
12,M21,1,CRUCERO 1,2006/05/15,2006,MAYO,NE,2.984
12,M22,1,CRUCERO 1,2006/05/15,2006,MAYO,NE,1.744
12,M18,1,CRUCERO 1,2006/05/15,2006,MAYO,NE,6.056
12,M19,1,CRUCERO 1,2006/05/15,2006,MAYO,NE,4.056
12,M20,1,CRUCERO 1,2006/05/15,2006,MAYO,NE,2.564
12,M39,1,CRUCERO 1,2006/05/14,2006,MAYO,NO,7.3
12,M38,1,CRUCERO 1,2006/05/14,2006,MAYO,O,10.32
12,M24,1,CRUCERO 1,2006/05/09,2006,MAYO,O,5.3
12,M25,1,CRUCERO 1,2006/05/09,2006,MAYO,NO,3.5
12,M26,1,CRUCERO 1,2006/05/09,2006,MAYO,SO,0.4
12,M27,1,CRUCERO 1,2006/05/09,2006,MAYO,O,4.4
12,M28,1,CRUCERO 1,2006/05/08,2006,MAYO,SO,2.3
12,M29,1,CRUCERO 1,2006/05/08,2006,MAYO,SO,2.5
12,M37,1,CRUCERO 1,2006/05/14,2006,MAYO,SO,3.512
12,M30,1,CRUCERO 1,2006/05/08,2006,MAYO,NO,3
12,M36,1,CRUCERO 1,2006/05/14,2006,MAYO,SO,3.1
12,M31,1,CRUCERO 1,2006/05/08,2006,MAYO,N,2.4
12,M32,1,CRUCERO 1,2006/05/08,2006,MAYO,SO,4.668
12,M35,1,CRUCERO 1,2006/05/07,2006,MAYO,SO,3.6
12,M33,1,CRUCERO 1,2006/05/08,2006,MAYO,SO,2.1
12,M34,1,CRUCERO 1,2006/05/08,2006,MAYO,SO,1.6
