C_REGION,ESTACIONID,PROGRAMA,CRUCERO,FCH_CRUC,AÑO,MES,RECURSO,VDM,COD_VDM
11,A19,1,CRUCERO 1,2006/05/20,2006,MAYO,Cholga,+,POSITIVO
11,A20,1,CRUCERO 1,2006/05/20,2006,MAYO,Cholga,+,POSITIVO
11,A21,1,CRUCERO 1,2006/05/21,2006,MAYO,Cholga,+,POSITIVO
11,A22,1,CRUCERO 1,2006/05/21,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A23,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A24,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,-,NEGATIVO
11,A25,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,+,POSITIVO
11,A26,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A27,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,+,POSITIVO
11,A28,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A29,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,+,POSITIVO
11,A30,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A31,1,CRUCERO 1,2006/05/21,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A32,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A33,1,CRUCERO 1,2006/05/16,2006,MAYO,Cholga,-,NEGATIVO
11,A34,1,CRUCERO 1,2006/05/14,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A35,1,CRUCERO 1,2006/05/21,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A36,1,CRUCERO 1,2006/05/21,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A37,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A38,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A39,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A40,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A41,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A42,1,CRUCERO 1,2006/05/01,2006,MAYO,Cholga,-,NEGATIVO
11,A43,1,CRUCERO 1,2006/05/01,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A44,1,CRUCERO 1,2006/05/01,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A45,1,CRUCERO 1,2006/05/01,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A46,1,CRUCERO 1,2006/05/22,2006,MAYO,Cholga,+,POSITIVO
11,A47,1,CRUCERO 1,2006/05/01,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A48,1,CRUCERO 1,2006/05/01,2006,MAYO,Cholga,#N/A,SIN MUESTRA
