C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,ANNO,MES,ARALEXCATE,ARALEXOSTE,ARALEXTAMA,ARDINOACUM,ARDINOACUT,ARPROTRETI,ARPSEUAUST,ARPSEUPSEU
11,A24,1,CRUCERO 1,,,,0,0,,0,1,0,1,2
11,A25,1,CRUCERO 1,,,,0,0,,1,1,0,2,2
11,A26,1,CRUCERO 1,,,,2,0,,1,0,0,0,0
11,A27,1,CRUCERO 1,,,,0,0,,1,0,0,0,0
11,A28,1,CRUCERO 1,,,,1,0,,1,1,0,1,0
11,A29,1,CRUCERO 1,,,,2,0,,1,1,0,0,0
11,A30,1,CRUCERO 1,,,,2,0,,1,1,0,4,4
11,A31,1,CRUCERO 1,,,,3,0,,1,2,1,3,4
11,A32,1,CRUCERO 1,,,,5,0,,3,2,2,4,4
11,A33,1,CRUCERO 1,2006-05-16,2006,MAYO,2,0,,1,1,1,3,4
11,A34,1,CRUCERO 1,2006-05-14,2006,MAYO,2,0,,1,1,1,3,4
11,A35,1,CRUCERO 1,2006-05-21,2006,MAYO,4,0,,3,2,2,3,4
11,A36,1,CRUCERO 1,2006-05-21,2006,MAYO,5,0,,3,3,3,2,4
11,A37,1,CRUCERO 1,2006-05-22,2006,MAYO,3,0,,1,1,2,3,3
11,A38,1,CRUCERO 1,2006-05-22,2006,MAYO,3,0,,1,1,1,4,4
11,A39,1,CRUCERO 1,2006-05-22,2006,MAYO,3,0,,1,1,1,4,4
11,A40,1,CRUCERO 1,2006-05-22,2006,MAYO,2,0,,1,1,1,3,4
11,A41,1,CRUCERO 1,2006-05-22,2006,MAYO,3,0,,1,1,1,3,4
11,A42,1,CRUCERO 1,,,,0,0,,1,1,0,2,1
11,A43,1,CRUCERO 1,,,,0,0,,1,1,0,3,4
11,A44,1,CRUCERO 1,,,,0,0,,0,1,0,1,2
11,A45,1,CRUCERO 1,,,,1,0,,1,1,1,2,4
11,A46,1,CRUCERO 1,,,,3,0,,1,1,0,3,4
11,A47,1,CRUCERO 1,,,,2,0,,0,1,0,2,3
